candidate_id,required_skill_score,experience_score,education_score,semantic_score,preferred_skill_score,protected_group,selected
C001,80,47,51,92,55,A,0
C002,54,48,97,51,89,A,0
C003,77,67,52,46,31,A,0
C004,54,72,88,46,91,A,0
C005,85,81,94,79,73,A,1
C006,68,77,67,96,20,A,0
C007,84,67,71,62,39,A,0
C008,88,61,56,50,68,A,0
C009,62,94,72,83,53,A,0
C010,86,69,84,52,68,A,0
C011,75,58,90,84,66,A,1
C012,85,44,52,87,49,B,1
C013,45,94,64,100,32,B,0
C014,57,69,90,98,66,A,1
C015,63,62,63,87,54,A,0
C016,78,80,60,79,51,A,0
C017,69,64,67,85,91,A,1
C018,83,60,99,94,27,A,1
C019,92,42,70,70,54,A,0
C020,53,98,86,90,60,A,0
C021,81,71,75,86,78,A,0
C022,56,48,65,92,91,B,0
C023,87,77,77,82,71,B,0
C024,54,48,82,76,31,A,0
C025,95,47,59,85,40,B,0
C026,78,44,74,69,96,B,1
C027,73,56,85,100,21,A,1
C028,83,96,84,93,54,B,1
C029,47,58,77,55,78,A,0
C030,86,96,96,61,84,A,1
C031,72,98,56,100,100,B,1
C032,93,80,82,83,45,A,1
C033,63,88,60,79,87,A,1
C034,78,60,81,46,34,B,1
C035,96,93,69,60,27,A,1
C036,96,76,55,50,82,A,0
C037,88,74,99,53,36,B,0
C038,100,75,60,61,87,B,1
C039,53,99,84,93,45,B,1
C040,65,82,91,68,76,B,1
C041,47,55,64,49,63,A,0
C042,77,75,64,82,48,A,1
C043,44,85,90,48,49,A,0
C044,97,42,71,49,85,A,0
C045,57,82,81,58,89,A,0
C046,86,99,86,81,80,A,1
C047,90,70,76,57,32,A,1
C048,82,67,72,72,72,B,0
C049,95,86,53,88,32,A,0
C050,65,86,71,96,33,A,1
C051,52,52,84,73,37,B,0
C052,51,57,79,60,29,B,0
C053,91,95,85,51,26,A,1
C054,45,99,98,99,50,A,0
C055,66,71,80,58,71,A,0
C056,50,64,50,69,53,B,0
C057,58,67,94,91,91,B,0
C058,49,52,68,58,27,A,0
C059,87,60,53,48,94,B,0
C060,72,98,83,55,27,A,1
C061,94,51,54,83,28,A,0
C062,65,47,86,60,94,A,0
C063,79,45,76,87,94,B,1
C064,99,56,63,87,60,A,1
C065,56,65,58,87,58,B,0
C066,60,99,98,49,21,B,0
C067,79,76,56,49,88,A,1
C068,72,56,58,67,28,A,0
C069,63,58,60,73,89,B,0
C070,79,91,91,78,21,B,1
C071,99,82,56,53,53,A,1
C072,96,46,97,80,39,B,1
C073,58,78,63,90,63,A,0
C074,83,80,66,77,82,B,1
C075,97,98,53,50,74,B,1
C076,42,40,71,94,36,B,0
C077,50,87,78,80,74,A,0
C078,47,44,94,54,89,A,0
C079,93,63,87,80,38,B,1
C080,48,42,69,68,25,B,0
C081,53,83,65,87,33,B,0
C082,89,75,76,84,39,A,1
C083,95,50,61,71,23,A,1
C084,87,99,71,95,72,A,1
C085,57,50,100,89,33,B,0
C086,95,42,80,59,45,B,1
C087,62,59,100,100,49,A,1
C088,41,82,62,70,62,B,0
C089,95,44,99,62,64,B,1
C090,83,93,84,66,23,A,0
C091,96,56,61,82,53,A,1
C092,46,78,77,67,60,B,0
C093,78,72,57,69,93,A,1
C094,56,42,95,72,20,A,0
C095,63,67,54,87,62,B,0
C096,82,94,57,91,58,B,1
C097,82,66,70,70,57,A,1
C098,52,66,92,69,42,B,0
C099,65,75,50,64,56,A,1
C100,67,90,87,83,61,B,0
